barName,barLicense,State of Residence,Hours of Op
BALTIMORE DELIGHT RESTAURANT,BL584,WY,8AM--12PM
FOUR G'S LIQUOR & LOUNGE,BL982,CO,6AM--12PM
CHARM CITY INN,BL661,MO,7AM--12PM
DUCKY PLEASURE CLUB,BL706,NE,9AM--12PM
COLLINS CORNER,BL736,HI,9AM--11PM
GINGER'S,BL564,FL,10AM--12PM
EAGLE NEST,BL142,UT,6AM--11PM
GECKOS,BL813,ND,6AM--12PM
DAVID & DAD'S LLC,BL842,NC,6AM--11PM
COCONUT CAFå,BL660,NE,7AM--12PM
E C CAFå & CATERING,BL639,NC,9AM--12PM
3 MILES HOUSE  INC.,BL661,MO,10AM--12PM
CRAZY LIL'S,BL683,RI,9AM--12PM
CHINATOWN CAFå,BL285,ME,7AM--11PM
Fleming's Prime Steakhouse and Wine Bar,BL026,AR,7AM--12PM
GALLAGHERS BAR & GRILL    (938-940),BL719,PA,7AM--11PM
DASH SEAFOOD & CHICKEN,BL359,NH,6AM--12PM
FIVE GUYS @ BREWERS HILL,BL864,TN,9AM--12PM
FOXY LADY,BL322,MT,8AM--12PM
AMERICAN LEIGON FORT MCHENRY POST #133,BL907,IA,9AM--12PM
CERIELLO FINE FOODS,BL660,AR,7AM--12PM
BLU BAMBU-FRESH AISIAN EATS,BL320,NE,9AM--11PM
ABACROMBIE FINE FOODS,BL193,MO,10AM--12PM
CHIC & TROUT (1007-09),BL899,LA,7AM--11PM
DIANNE'S RESTAURANT LOUNGE,BL092,IN,7AM--12PM
CATON HOUSE RESTAURANT,BL395,TN,10AM--12PM
AMIGO'S BAR,BL456,MA,9AM--12PM
CAFå GIA,BL872,AR,7AM--12PM
CLUBHOUSE BAR & GRILL,BL179,WV,9AM--11PM
B,BL610,WI,10AM--12PM
ALONSO'S RESTAURANT & COCKTAIL LOUNGE,BL780,WI,9AM--12PM
babalu grill,BL792,HI,7AM--12PM
FAMOUS RESTAURANT,BL337,HI,7AM--11PM
BALTIMORE COUNTRY CLUB,BL097,AZ,10AM--12PM
BURGER KING #10294,BL495,AZ,10AM--12PM
EICHENKRANZ RESTAURANT,BL114,MT,7AM--11PM
EDGAR'S INC.--BALTIMORE  MD,BL229,GA,10AM--12PM
DILONE GROCERY & RESTAURANT,BL300,MA,8AM--11PM
BILTMORE SUITES HOTEL,BL506,NH,7AM--12PM
CIRCUS BAR & RESTAURANT,BL928,NH,8AM--12PM
CAFå EXPRESS,BL922,AK,6AM--12PM
BURKE'S CAFå/ COMEDY FACTORY,BL576,ND,7AM--11PM
BRENDAL  INC.,BL999,WV,10AM--11PM
GARDEN RESTAURANT,BL322,KS,7AM--11PM
COSMOPOLITAN BAR & GRILL,BL416,AR,9AM--12PM
DIZZY  IZZY,BL062,AZ,9AM--12PM
asian taste,BL770,MO,9AM--12PM
CENTRAL STATION,BL921,GA,10AM--12PM
CREATIVE ALLIANCE,BL947,ND,8AM--11PM
BULLSEYE BAR & GRILLE,BL022,VT,9AM--12PM
AMERICAN LEGION POST #187,BL194,MO,6AM--12PM
CARL'S LITTLE HOUSE,BL962,MT,9AM--11PM
COSMOS RESTAURANT-CARRYOUT (5427-29),BL544,MD,7AM--11PM
GALLERY CAFå,BL134,null,10AM--12PM
CINCO DE MAYO,BL189,DC,7AM--11PM
blue island malaysian cuisine,BL231,MS,8AM--12PM
CHARLES & MADISON  LLC,BL097,WY,8AM--11PM
CHICKEN RICO,BL285,AK,7AM--12PM
GLASS DOOR lounge,BL842,MD,8AM--11PM
743 S. MONTFORD INC.,BL125,WY,7AM--11PM
CLUB HUSH,BL801,IN,9AM--11PM
CHARM CITY INN,BL534,SC,7AM--11PM
AMBROSIA'S,BL031,NV,7AM--11PM
EL RECODO  INC.,BL461,VT,9AM--12PM
BALTIMORE BEVERAGE CO. LLC,BL544,VT,7AM--11PM
DAVEY JONES LOCKER,BL009,IA,7AM--11PM
ALONSO'S RESTAURANT & COCKTAIL LOUNGE,BL471,HI,8AM--11PM
null,BL683,MD,6AM--12PM
19TH HOLE,BL250,NY,10AM--11PM
CURLEY ST.  CAFå,BL808,NE,6AM--11PM
DUCK'S BLACK SATIN LOUNGE,BL673,MN,8AM--12PM
FRANKLINTOWN INN,BL991,SD,9AM--12PM
DUNKIN DONUTS & BASKIN ROBBINS,BL792,HI,7AM--11PM
BOP BRICK OVEN PIZZA,BL506,AZ,6AM--12PM
BERT'S EATS & DRINKS (3103-05),BL421,NE,8AM--11PM
CLIPPER MILL INN,BL662,UT,7AM--12PM
AKDEY SUBWAY  INC.,BL930,FL,9AM--11PM
azteca de oro,BL141,WV,10AM--12PM
CLUB MITCHELL,BL593,KS,6AM--12PM
FANTASY CAFå,BL302,AL,8AM--12PM
BURGER KING,BL541,GA,9AM--12PM
BURGER KING # 10293,BL951,UT,6AM--12PM
asian taste,BL937,NE,9AM--11PM
CORKY'S GRILL,BL914,KS,8AM--11PM
CHARLES RESTAURANT  &  CARRYOUT,BL696,MA,8AM--11PM
BURGER KING #2610,BL340,PA,7AM--11PM
CLUB CONFETTI,BL499,MO,10AM--12PM
CAZBAR,BL145,MT,8AM--11PM
CLUB CHOICES,BL971,CO,9AM--11PM
AKDEY SUBWAY  INC.,BL868,FL,7AM--12PM
BOP BRICK OVEN PIZZA,BL640,FL,9AM--11PM
Fleming's Prime Steakhouse and Wine Bar,BL806,UT,8AM--11PM
GOLDEN KEY RESTAURANT,BL486,CO,9AM--12PM
crazy johns,BL950,MT,9AM--11PM
CASSANOVIA,BL167,SC,7AM--12PM
ABACROMBIE FINE FOODS,BL331,ME,7AM--12PM
BIG BAD WOLF'S HOUSE OF BARBEQUE,BL893,NH,7AM--12PM
CASSANOVIA,BL700,DE,9AM--11PM
DOWN THE HATCH,BL948,null,7AM--11PM
3 KINGS,BL129,RI,8AM--12PM
DUCLAW BREWING COMPANY,BL949,MA,9AM--11PM
DARKER THAN BLUE,BL307,KS,7AM--11PM
DEAD END SALOON,BL108,MT,7AM--12PM
GALLERY CAFå,BL231,WI,9AM--11PM
BERT'S EATS & DRINKS (3103-05),BL298,AL,9AM--12PM
CAFå LATTE 'DA,BL660,CA,10AM--12PM
CREPE DU JOUR,BL821,null,7AM--11PM
ANNABEL LEE TAVERN,BL137,CO,8AM--11PM
BOB DELI,BL937,SD,8AM--11PM
ANNS AT LEXINGTON PLACE,BL700,NE,9AM--12PM
ARAMARK FHC SPORTS (BAR 217),BL534,AK,9AM--11PM
B.G.'S PUB INCORPORATED,BL856,RI,6AM--12PM
BLUE JEAN CAFE,BL382,WV,8AM--12PM
DOUGHERTY'S,BL296,AL,10AM--11PM
BURGER KING,BL877,MS,8AM--12PM
ECLECTIC CAFå,BL457,NY,9AM--11PM
BRASS MONKEY SALOON,BL584,AZ,10AM--11PM
ARA-MONUMENTAL LIFE INSURANCE COMPANY,BL395,ME,8AM--12PM
BUSTER'S PUB,BL250,MI,9AM--12PM
BLUE SKY RESTAURANT,BL733,ME,8AM--11PM
BERMUDA BAR,BL791,NY,7AM--11PM
FLAMERS BURGER & CHICKEN,BL715,null,7AM--12PM
BEDROCK (KITCHEN AREA),BL530,AL,9AM--12PM
DUCK'S BLACK SATIN LOUNGE,BL895,ND,8AM--11PM
BALTIMORE BEVERAGE CO. LLC,BL933,AZ,8AM--12PM
GERMANIO'S RESTAURANT,BL484,CA,8AM--12PM
CINCO DE MAYO,BL239,AZ,10AM--11PM
BREWER'S HILL PUB & GRILL,BL948,PA,7AM--11PM
438 CLUB,BL865,IA,7AM--12PM
BOUILLABAISSE CAFå,BL051,PA,9AM--12PM
BEACH  BUMS CAFå,BL218,KS,10AM--12PM
CAMERON'S SEAFOOD,BL389,OK,7AM--11PM
CLUB PUSSYCAT,BL288,OK,8AM--12PM
CLUB LUZERENE,BL296,NY,9AM--12PM
DIONYSUS RESTAURANT & LOUNGE,BL706,KS,10AM--11PM
CHINA CHEF,BL338,MT,9AM--12PM
CANTINA LAS AMERICAS/LA RUMBA,BL436,UT,7AM--11PM
CLUB MIAMI,BL024,MT,10AM--11PM
DILONE GROCERY & RESTAURANT,BL655,KS,7AM--12PM
AMERICAN LEGION FEDERAL POST #19,BL698,DC,7AM--12PM
null,BL758,AR,8AM--11PM
ABC SUSHI,BL456,MA,7AM--12PM
BLARNEY STONE INN,BL553,FL,8AM--11PM
DIONYSUS RESTAURANT & LOUNGE,BL129,HI,8AM--12PM
BARNES & NOBLE BOOKSELLERS,BL752,NE,9AM--12PM
DILONE GROCERY & RESTAURANT,BL541,NY,7AM--12PM
ARAMARK FHC SPORTS (BAR 236),BL806,NH,7AM--11PM
BLUE CRAB EXPRESS & CAFå INC.,BL758,CT,9AM--12PM
G & A RESTAURANT,BL659,DC,8AM--11PM
CLASSIC CAFE EXPRESS,BL538,MA,6AM--11PM
CLUB CHOICES,BL151,MO,7AM--11PM
CHESAPEAKE BAY RESTAURANT,BL571,MA,8AM--12PM
CHEF PAOLINO,BL383,HI,10AM--12PM
CEDONIA INN,BL499,MS,7AM--12PM
ELKS I.B.P.O.E.OF W.,BL781,AZ,8AM--12PM
GINGER'S,BL296,GA,6AM--12PM
BROADWAY DINER,BL880,CO,9AM--12PM
BOULDER GARDEN CAFE,BL051,OR,9AM--11PM
CREPE DU JOUR,BL508,OR,7AM--12PM
G & A RESTAURANT,BL700,WV,8AM--12PM
BREEZE INC.,BL584,SD,8AM--11PM
GERMANIO'S RESTAURANT,BL657,MO,6AM--11PM
COCO MOKA CAFå,BL228,DE,7AM--12PM
CLUB HOUSE BAR & GRILL,BL010,DC,6AM--11PM
EL TORITO MEXICAN RESTAURANT,BL183,MI,7AM--12PM
BERGER'S TAVERN  INCORPORATED,BL962,NE,9AM--11PM
COSMOPOLITAN BAR & GRILL,BL495,MO,6AM--12PM
CAPTAIN LARRY'S,BL976,LA,7AM--11PM
FLETCHERS,BL879,IL,7AM--11PM
GARDEN BEEF & BEER,BL688,WV,9AM--11PM
GOLDEN NUGGET LOUNGE,BL695,DE,9AM--12PM
AKDEY SUBWAY  INC.,BL122,PA,9AM--11PM
FISHERMANS WHARF INNER HARBOR,BL337,LA,8AM--12PM
CASSANOVIA,BL141,AR,6AM--11PM
FAMOUS RESTAURANT,BL332,UT,7AM--12PM
GALLAGHERS BAR & GRILL    (938-940),BL696,LA,10AM--12PM
BUTTS & BETTY'S TAVERN  INC.,BL164,ME,8AM--12PM
DAVID'S RESTAURANT & DELI,BL615,AL,10AM--11PM
CLAYTON FINE BOOKS & CAFå,BL864,HI,6AM--11PM
DIANNE'S RESTAURANT LOUNGE,BL590,TN,8AM--11PM
CLASSIC CAFE EXPRESS,BL538,DE,8AM--11PM
AIRPORT BAR & GRILL  INC.,BL320,SD,9AM--12PM
BURGER KING #10294,BL752,AL,6AM--12PM
BLUE POINT CRAB HOUSE (seasonal),BL576,NE,6AM--11PM
europe restaurant & catering,BL530,WY,8AM--12PM
COCONUT CAFå,BL114,FL,7AM--12PM
DOWN THE HATCH,BL864,WY,7AM--11PM
CHEERLEADERS,BL416,NC,10AM--12PM
GAFFNEY'S BACK FIN ( seasonal),BL544,OK,7AM--11PM
B & O CAFE,BL571,GA,9AM--12PM
DARKER THAN BLUE,BL028,LA,8AM--12PM
FIVE POINT TAVERN,BL034,DC,7AM--11PM
ALDO'S   RESTAURANT,BL622,HI,8AM--11PM
FOODTOPIA,BL665,IN,6AM--11PM
FIELDER'S TAVERN,BL524,VT,8AM--12PM
EL RANCHO BLANCO,BL695,AK,7AM--12PM
DAVEY JONES LOCKER,BL162,MO,6AM--11PM
DUCK'S BLACK SATIN LOUNGE,BL877,PA,10AM--12PM
ARAMARK FHC SPORTS (BAR 232),BL453,FL,6AM--12PM
CHARM CITY INN,BL899,AZ,6AM--12PM
DONNA'S CHARLES VILLAGE  LLC,BL719,MT,9AM--12PM
CHOPPER'S TAVERN,BL220,MD,8AM--12PM
BALTIMORE MARRIOTT WATERFRONT/GRILLE 700 RESTAURAN,BL576,VA,7AM--12PM
CHINA EAST,BL166,MN,9AM--12PM
EDIE'S DELI & GRILL,BL610,WV,6AM--11PM
AMBROSIA'S,BL895,KS,6AM--11PM
ALEXANDER'S TAVERN,BL361,GA,8AM--11PM
CINGHIALE,BL611,UT,7AM--11PM
FOUL BALL BAR,BL508,MO,8AM--12PM
CANTON STATION,BL489,VA,9AM--12PM
DIAMOND LOUNGE   (415 1/2 E. BALTIMORE STREET),BL758,KS,7AM--11PM
BLUE AGAVE RESTAURANT AND TEQUILERIA,BL745,AK,10AM--11PM
DANCING PIGS,BL520,CA,8AM--11PM
CLUB CHOICES,BL183,MD,6AM--11PM
BARTENDERS,BL661,ME,8AM--12PM
BREWSTER'S TAVERN,BL179,IL,6AM--11PM
DEEP SIDE RESTAURANT & CAFå,BL951,RI,8AM--11PM
family diner,BL091,AZ,10AM--12PM
CHOCOLATEA,BL801,CT,8AM--11PM
EL TORITO MEXICAN RESTAURANT,BL183,AL,8AM--11PM
CAPTAIN LARRY'S,BL783,MI,7AM--11PM
FOGO DE CHAO,BL457,MA,8AM--12PM
BALTIMORE BEVERAGE CO. -STARBUCKS,null,CA,6AM--11PM
EXCLUSIVE,BL665,WV,7AM--12PM
AKDEY SUBWAY  INC.,BL471,CO,9AM--11PM
BUSTER'S PUB,BL898,NY,9AM--12PM
BERTHA'S RESTAURANT,BL104,ME,8AM--11PM
BALTIMORE MARRIOTT WATERFRONT/KOZMOS BAR,BL837,OR,7AM--12PM
BREWSTER'S TAVERN,BL660,AR,9AM--11PM
BALTIMORE ESTONIAN SOCIETY,BL541,ME,10AM--12PM
GENJI SUSHI EXPRESS   (A.K.A. 600 S EXETER ST),BL047,SD,7AM--12PM
CHINA EUTAW EXPRESS,BL288,TN,9AM--11PM
ALONSO'S RESTAURANT & COCKTAIL LOUNGE,BL328,IL,9AM--11PM
CARLYLE CLUB,BL285,WY,9AM--12PM
BROOKLYN INN  LLC,BL134,LA,9AM--12PM
BLUE CRAB EXPRESS & CAFå INC.,BL000,AR,8AM--12PM
DUNKIN DONUTS,BL894,AK,8AM--11PM
AKBAR RESTAURANT,BL808,MT,8AM--11PM
CHARLESTON,BL526,SD,6AM--12PM
CHARLIE & DEE RESTAURANT,BL022,AL,10AM--11PM
CHEF PAOLINO,BL300,MO,9AM--12PM
ENRICO'S SPORTS CAFE,BL183,DE,6AM--11PM
BACKSTRETCH SALOON,BL948,SD,8AM--11PM
BLUE POINT CRAB HOUSE (seasonal),BL087,NE,7AM--12PM
BLUE PARROT,BL725,TN,8AM--11PM
CIRCUS BAR & RESTAURANT,BL241,RI,7AM--12PM
BROTHERS PLACE  INC.,BL433,IL,6AM--12PM
DONRITZ BAR & GRILL,BL688,UT,8AM--11PM
AMBASSADOR DINNING ROOM,BL340,SC,6AM--11PM
ARAMARK/PNC,BL371,WY,8AM--11PM
caribbean paradise,BL583,HI,7AM--11PM
AUSTIN GRILL,BL544,WV,8AM--12PM
CORRADO'S CAFå,BL922,null,8AM--11PM
BOB DELI,BL426,ND,8AM--11PM
CHUBBIES CLUB,BL426,AR,9AM--11PM
BLUE PARROT,BL933,MO,8AM--12PM
FISHERMANS WHARF INNER HARBOR,BL914,CT,6AM--12PM
BUTTS & BETTY'S TAVERN  INC.,BL380,MS,9AM--12PM
BOCCACCIO,BL661,PA,9AM--11PM
DUKEM ETHIOPIAN RESTAURANT,BL743,NE,9AM--12PM
dalesio's of little italy llc,BL211,MT,8AM--12PM
FLIP'S AT CLIPPER MILL,BL311,CT,9AM--12PM
courthouse east caf‰Û_',BL042,AL,9AM--11PM
BARTENDERS,BL913,UT,7AM--12PM
ATWATER'S,BL657,KS,10AM--11PM
DUCKY PLEASURE CLUB,BL791,AK,6AM--12PM
AVENUE BAR & LIQUOR,BL894,NE,7AM--11PM
APPLEBEE'S NEIGHBORHOOD GRILL & BAR,BL026,CA,7AM--11PM
FOUL BALL BAR,BL588,HI,9AM--11PM
BLU BAMBU-FRESH AISIAN EATS,BL842,TN,6AM--12PM
ARAMARK FHC SPORTS (BAR 210),BL501,WY,8AM--12PM
Fleming's Prime Steakhouse and Wine Bar,BL087,RI,9AM--11PM
FRAZIER'S ON THE AVENUE,BL559,CO,7AM--11PM
BURGER KING #1950,BL877,AL,8AM--12PM
FIELDER'S TAVERN,BL230,ND,9AM--12PM
CHUCK'S,BL805,HI,9AM--11PM
COLONIAL INN,BL879,DC,8AM--11PM
DONNA'S CROSS KEYS,BL460,MO,6AM--11PM
ACROPOLIS RESTAURANT,BL311,AZ,10AM--11PM
BALTIMORE MARRIOTT WATERFRONT/KOZMOS BAR,BL583,UT,10AM--11PM
COOKIE'S  CITY  LINE  DINER,null,NE,9AM--11PM
BILL'S LIGHTHOUSE INN,BL577,WY,9AM--11PM
BARTENDERS,BL584,CT,9AM--11PM
BROOKLYN BOOSTER CLUB,BL389,ME,9AM--12PM
BALTIMORE BEVERAGE CO. -STARBUCKS,BL752,NE,6AM--12PM
FLETCHERS,BL134,NH,6AM--11PM
COLLINS CORNER,BL758,MI,6AM--11PM
BOB'S OLDIE'S CAFå,BL808,TN,9AM--12PM
fraternal order of police baltimore city lodge #3,BL395,NH,6AM--12PM
DONNA'S CHARLES VILLAGE  LLC,BL506,MD,8AM--12PM
CAROLINA'S TEX-MEX RESTURANT,BL981,UT,9AM--12PM
BLUE POINT CRAB HOUSE (seasonal),BL060,WY,9AM--12PM
DANNY'S LOUNGE,BL868,FL,8AM--11PM
ARAMARK FHC SPORTS (BAR 252-253),BL878,HI,8AM--12PM
EICHENKRANZ RESTAURANT,BL460,OR,7AM--11PM
CHARLOTTE'S,BL090,PA,6AM--12PM
ANNS AT LEXINGTON PLACE,BL716,GA,10AM--12PM
DRIFTERS RAW BAR & GRILL,BL791,IN,6AM--12PM
EVERYDAY'S LLC,BL914,LA,8AM--11PM
BILTMORE SUITES HOTEL,BL049,MI,8AM--12PM
CHARLES ST DELI,BL947,UT,10AM--11PM
BAY CAFE,BL091,MT,9AM--11PM
BRENDAL  INC.,BL646,MA,7AM--11PM
BALTIMORE BEVERAGE CO. LLC,BL544,VT,8AM--11PM
BROTHERS PLACE  INC.,BL125,AL,6AM--12PM
CHINA WOK,BL510,MO,10AM--12PM
FIVE GUYS FAMOUS BURGERS & FRIES,BL506,OK,6AM--12PM
ARAMARK FHC SPORTS (BAR 244),BL583,CT,7AM--11PM
CHAMPAGNE TONY'S,BL661,NY,10AM--11PM
CALIFORNIA PIZZA KITCHEN,BL665,CO,7AM--11PM
blue island malaysian cuisine,BL382,NH,9AM--11PM
family diner,BL028,HI,8AM--11PM
BROOKLYN INN  LLC,BL485,null,7AM--11PM
DAYS INNS MANAGEMENT CO,BL453,NY,8AM--11PM
CHAZZ &  REN'E,BL878,ME,7AM--12PM
CLUB HUSH,BL218,CT,6AM--11PM
BURGER KING,BL359,WY,8AM--12PM
GENTLEMEN OF CHARISMA,BL535,NE,7AM--11PM
ARA-MONUMENTAL LIFE INSURANCE COMPANY,BL656,MD,6AM--12PM
EASTSIDE  SPORTS  SOCIAL  CLUB,BL242,MA,6AM--12PM
BLU BAMBU-FRESH AISIAN EATS,BL444,CO,9AM--12PM
ANGELO'S RESTAURANT & CARRYOUT,BL758,AZ,10AM--12PM
ASAHI SUSHI,BL158,TN,9AM--11PM
CAMERON'S SEAFOOD,BL924,WV,8AM--12PM
BIRCHES RESTAURANT,BL864,UT,9AM--11PM
BROOKEY'S,BL090,MI,9AM--11PM
GEN-JOSEPH HALLER POST #95  AMERICAN LEGION  INC.,BL898,FL,7AM--11PM
FIVE GUYS FAMOUS BURGERS & FRIES,BL590,KS,6AM--12PM
AVENUE BAR & LIQUOR,BL713,MD,8AM--11PM
COLONIAL INN,BL489,TN,7AM--12PM
CAFE' INTERNATIONALE,BL661,CO,7AM--11PM
ANNS AT LEXINGTON PLACE,BL576,UT,9AM--12PM
EL-MOLINO,BL158,null,9AM--11PM
ELKS I.B.P.O.E.OF W.,BL504,MD,9AM--12PM
BULL ROBINSON  LIQUORS (AKA 2736 GREENMOUNT AV,BL189,MO,8AM--12PM
BEACH  BUMS CAFå,BL361,TN,9AM--11PM
AL-HO CLUB,BL937,FL,10AM--11PM
BAJA BEACH CLUB  (COMBINED WITH BAR-L),BL542,AZ,9AM--12PM
DOWN THE HATCH,BL211,VT,10AM--12PM
CORKS,BL179,RI,7AM--11PM
ENRICO'S SPORTS CAFE,BL652,OK,6AM--12PM
BIG BAD WOLF'S HOUSE OF BARBEQUE,BL660,TN,9AM--11PM
caribbean paradise,BL797,AL,6AM--12PM
BALTIMORE BEVERAGE CO. LLC,BL719,HI,7AM--12PM
DRIFTERS RAW BAR & GRILL,BL058,SD,7AM--12PM
COCO MOKA CAFå,BL665,CT,9AM--11PM
BERMUDA BAR,BL085,WV,6AM--11PM
G & A RESTAURANT,BL076,WY,6AM--12PM
ELLIOT'S POUR HOUSE,BL126,KS,9AM--11PM
BURKE'S CAFå/ COMEDY FACTORY,BL763,AZ,9AM--12PM
CLUB 1722,BL109,PA,8AM--11PM
caribbean paradise,BL460,AZ,7AM--11PM
DONRITZ BAR & GRILL,BL231,TN,9AM--12PM
FULTON RESTAURANT,BL357,TN,9AM--11PM
BLACKTIE SERVICES,BL639,WV,8AM--12PM
crazy johns,BL480,MO,10AM--12PM
CLUB BAR,BL880,WV,10AM--12PM
CITY LIMITS SPORTS BAR,BL715,NE,7AM--11PM
CINCO DE MAYO,BL591,MD,8AM--12PM
AU BON PAIN,BL941,NY,9AM--11PM
CIAO BELLA RESTAURANT,BL033,MO,9AM--12PM
COCONUT CAFå,BL719,MO,7AM--12PM
FOUL BALL BAR,BL534,DE,10AM--12PM
CC LOUNGE,BL278,TN,9AM--12PM
CLUB CHOICES,BL302,AK,6AM--12PM
B.G.'S PUB INCORPORATED,BL515,LA,9AM--12PM
EL TROPICAL RESTAURANT (3736-38),BL179,VT,7AM--11PM
BLU BAMBU-FRESH AISIAN EATS,BL338,AL,9AM--12PM
DEAD END SALOON,BL850,CT,10AM--11PM
CORRADO'S CAFå,BL728,IL,7AM--11PM
BRASSERIE TATIN,BL162,HI,7AM--12PM
DUKEM ETHIOPIAN RESTAURANT,BL436,SC,7AM--11PM
BLUE CRAB EXPRESS & CAFå INC.,BL499,UT,10AM--12PM
FANTASY CAFå,BL426,NE,7AM--11PM
blue island malaysian cuisine,BL657,HI,8AM--11PM
CAFå AZAFRAN,BL577,NE,6AM--11PM
BAY CAFE,BL142,IL,8AM--12PM
GOOD TIMES BAR AND LOUNGE,BL797,HI,9AM--12PM
CLUB LUZERENE,BL134,HI,9AM--12PM
GIBSON'S,BL576,CT,10AM--11PM
AVENUE BAR & LIQUOR,BL485,MO,7AM--12PM
COLD STONE CREAMERY# 102,BL285,LA,7AM--11PM
FAMOUS RESTAURANT,BL001,MD,9AM--11PM
CHARLES & MADISON  LLC,BL264,FL,7AM--11PM
ADMIRAL FELL INN,BL980,MA,8AM--11PM
BURGER KING #10295,BL865,UT,10AM--12PM
CINGHIALE,BL922,OR,8AM--12PM
CEASAR'S DEN,BL407,NY,9AM--11PM
COLLINS CORNER,BL842,MA,9AM--11PM
GLASS DOOR lounge,BL924,KS,6AM--12PM
GEORGIO'S,BL227,UT,7AM--12PM
BEDROCK (KITCHEN AREA),BL948,IN,9AM--11PM
CANTON STATION,BL813,HI,6AM--12PM
ALE MARY'S,BL763,UT,8AM--12PM
CURTIS BAY ATHLETIC CLUB,BL402,ND,8AM--11PM
BALTIMORE MARRIOTT WATERFRONT/KOZMOS BAR,BL047,WV,7AM--11PM
BREWSTER'S TAVERN,BL963,HI,7AM--12PM
FOUL BALL BAR,BL436,IA,9AM--11PM
CLUBHOUSE BAR & GRILL,BL506,WY,10AM--12PM
FOODTOPIA,BL173,KS,9AM--11PM
ARCH SOCIAL CLUB,BL134,PA,8AM--11PM
BLUE JEAN CAFE,BL506,FL,9AM--12PM
CROSSROADS SPORTS PUB & GRILL,BL719,NH,9AM--12PM
DOWN THE HATCH,BL758,CO,7AM--11PM
CLAYTON FINE BOOKS & CAFå,BL572,CT,7AM--11PM
AUSTIN GRILL,BL688,AK,9AM--12PM
BIG KAHUNA CANTINA,BL288,NC,8AM--11PM
EXCLUSIVE,BL176,HI,7AM--11PM
DUKEM ETHIOPIAN RESTAURANT,BL280,WV,8AM--11PM
CHRIS LIQUOR & GRILL,BL331,KS,9AM--11PM
ARAMARK FHC SPORTS (BAR 210),BL555,SD,8AM--11PM
ELLIOT'S POUR HOUSE,BL842,NC,7AM--11PM
CHINA EUTAW EXPRESS,BL655,CT,7AM--11PM
GLADIATORS ASSOCIATIONS  INC,BL104,IA,6AM--12PM
EL-MOLINO,BL865,PA,8AM--12PM
ABACROMBIE FINE FOODS,BL377,DC,8AM--11PM
CHARLES & MADISON  LLC,BL728,WV,7AM--11PM
BUSTER'S PUB,BL471,MN,6AM--12PM
DANCING PIGS,BL909,GA,8AM--11PM
GOLDEN KEY RESTAURANT,BL924,IL,6AM--12PM
DAVID & DAD'S LLC,BL296,CT,6AM--12PM
COTTON CLUB,BL747,MO,7AM--11PM
CLUB MIAMI,BL031,AL,9AM--11PM
ARAMARK FHC SPORTS (BAR 210),BL821,SD,6AM--12PM
19TH HOLE,BL338,WV,7AM--11PM
BALTIMORE MARRIOTT-INNER HARBOR/REST/BAR,BL288,MT,8AM--12PM
GENJI SUSHI EXPRESS   (A.K.A. 600 S EXETER ST),BL460,MO,8AM--12PM
FAMOUS RESTAURANT,BL134,ME,8AM--12PM
FANTASIES,BL801,HI,6AM--11PM
FIELDER'S TAVERN,BL109,IA,9AM--11PM
COSMOS RESTAURANT-CARRYOUT (5427-29),BL338,MO,8AM--12PM
BREWER'S HILL PUB & GRILL,BL395,WV,7AM--12PM
CLUB MIAMI,BL879,SC,9AM--11PM
ELVIS RESTAURANT,BL140,CA,6AM--11PM
BROOKEY'S,BL296,AR,7AM--12PM
BLARNEY STONE PUB,BL757,WV,8AM--11PM
GEORGIO'S,BL005,WV,8AM--12PM
FRAZIER'S ON THE AVENUE,BL698,CT,9AM--12PM
CLUB BUNNS (606-08),BL515,MA,9AM--12PM
DAYS INNS MANAGEMENT CO,BL337,NH,6AM--11PM
ALEXANDER'S TAVERN,BL757,IA,8AM--12PM
CHARLESTON,BL948,MS,9AM--11PM
CHEERLEADERS,BL241,ME,9AM--11PM
BROTHERS PLACE  INC.,BL577,AR,8AM--11PM
CHINESE DELIGHT,BL919,KS,8AM--11PM
BOUILLABAISSE CAFå,BL389,TN,7AM--11PM
GINGER'S,BL086,FL,8AM--11PM
FIVE GUYS @ BREWERS HILL,BL963,HI,7AM--12PM
AUSTIN GRILL,BL611,NY,6AM--12PM
DONNA'S CHARLES VILLAGE  LLC,BL878,GA,6AM--11PM
CHOCOLATEA,BL058,AZ,7AM--12PM
BURGER KING #2610,BL688,WY,8AM--11PM
BIG TEE'S BAR & GRILL,BL928,OK,9AM--11PM
CHINA EUTAW EXPRESS,BL162,MD,10AM--11PM
DEAD FREDDIES,BL166,CT,7AM--11PM
ALLEN RESTAURANT,BL640,MT,8AM--11PM
CLUB CHOICES,BL285,HI,7AM--11PM
CLUB ONE,BL109,OK,9AM--11PM
AMERICAN LEGION FEDERAL POST #19,BL950,MI,8AM--12PM
DUNKIN DONUTS,BL862,MI,9AM--12PM
ARAMARK FHC SPORTS (BAR 200-201),BL660,SC,8AM--11PM
ARAMARK FHC SPORTS (BAR 244),BL506,AR,9AM--11PM
aramark at citi bank baltimore,BL894,IN,9AM--11PM
19TH HOLE,BL623,AL,7AM--11PM
BURGER KING # 13360,BL864,MA,6AM--12PM
CARROLL STATION,BL564,NH,8AM--11PM
AKDEY SUBWAY  INC.,BL151,MA,8AM--12PM
DEEP SIDE RESTAURANT & CAFå,BL228,PA,7AM--12PM
